genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
EBNA1BP2	1.0087	             NaN	1.7103	             NaN	1.5484	             NaN	             NaN	1.4742	             NaN	1.871	1.0735	1.3086	1.5478	1.4047	             NaN	1.2641	             NaN	1.0053	             NaN	             NaN	             NaN	1.1661	             NaN	             NaN	2.4574	2.4574	1.8918	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.2079	1.1424	1.0156	1.6863	1.548	1.5294	             NaN	             NaN	1.0294
NME1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1792	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0756	             NaN	1.1897	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4041	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.0772	             NaN	1.1417	             NaN	1.0703	1.3219	             NaN	1.1163	1.161
ADSL	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0566	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4575	             NaN	1.1984	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.125	             NaN	             NaN	1.1073	             NaN	             NaN	             NaN	1.3219	1.3219
SNRPN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2407	1.2393	1.3383	1.1152	1.6965	2.4003	             NaN	             NaN	4.901	             NaN	1.1794	             NaN	4.6446	1.0437	             NaN	             NaN	             NaN	             NaN	             NaN	1.438	             NaN	2.076	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2881	2.9363	             NaN	1.932	             NaN	             NaN	2.5361	             NaN	3.3219
IMMT	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0934	1.1248	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.885	             NaN	             NaN	             NaN	             NaN	1.1019	             NaN	1.0498	1.7936	1.0703	             NaN	             NaN	             NaN	1.3219
PRDX6	             NaN	             NaN	1.0476	             NaN	             NaN	1.7261	1.6563	1.013	1.0357	1.7877	1.3684	             NaN	             NaN	1.2996	             NaN	             NaN	             NaN	1.6061	1.3023	             NaN	             NaN	1.1091	1.4715	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3425	1.1492	1.3129	1.7936	             NaN	             NaN	1.161	             NaN	1.3219
SSBP1	             NaN	             NaN	             NaN	             NaN	1.1491	             NaN	             NaN	1.2604	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2146	             NaN	             NaN	1.7997	             NaN
EIF3S8	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1961	1.0477	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4913	             NaN	1.5294	1.3964	             NaN
EIF3S6	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0329	1.4454	1.3652	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2845	1.0856	1.0275	             NaN	             NaN	             NaN	             NaN	             NaN
RDBP	             NaN	             NaN	1.2165	             NaN	             NaN	             NaN	1.2681	             NaN	1.1217	1.2138	             NaN	             NaN	1.0441	1.4305	             NaN	1.6296	1.0137	1.0297	1.2061	             NaN	1.0201	             NaN	1.0662	1.2662	1.3249	1.878	1.7616	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3296	1.0888	1.4943	             NaN	1.4139	             NaN	1.237
FH	             NaN	             NaN	1.1724	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2822	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6785	1.9453	1.1671	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0658	             NaN	             NaN	1.2653	1.932	             NaN	             NaN	1.5294	3.3219
PDHA1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1921	1.6114	1.1146	1.0408	1.6424	             NaN	             NaN	             NaN	             NaN	1.1779	             NaN	1.0033	             NaN	             NaN	             NaN	             NaN	             NaN	1.6253	1.0882	             NaN	1.0342	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3458	1.9324	             NaN	1.4311	1.548	             NaN	             NaN	1.161	             NaN
ITGB1BP1	             NaN	             NaN	             NaN	             NaN	             NaN	1.4077	1.2256	             NaN	             NaN	             NaN	1.6077	             NaN	             NaN	1.3992	1.2405	             NaN	             NaN	1.6077	             NaN	             NaN	             NaN	             NaN	1.2673	1.9863	2.4402	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0144	             NaN	1.4192	1.661	             NaN	             NaN	             NaN	             NaN	1.737
ITGAE	             NaN	             NaN	1.3858	             NaN	             NaN	             NaN	             NaN	1.4827	             NaN	             NaN	             NaN	             NaN	             NaN	2.1102	2.1102	             NaN	             NaN	2.2617	1.0298	             NaN	             NaN	             NaN	             NaN	1.9023	             NaN	1.2955	2.4765	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5736	             NaN	1.0961	1.4183	             NaN	1.0467	             NaN	1.161	             NaN
SERTAD2	             NaN	             NaN	             NaN	             NaN	             NaN	1.0957	1.5128	1.0471	1.4668	             NaN	             NaN	             NaN	             NaN	1.0926	1.0093	1.0341	             NaN	1.517	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6146	1.267	             NaN	             NaN	             NaN	             NaN	1.1	             NaN	             NaN	2.3785	1.4039	             NaN	             NaN	             NaN	1.0248	1.3219	1.418	1.1667
SELPLG	             NaN	             NaN	1.1658	             NaN	2.6736	1.3501	1.5539	2.3541	3.1688	1.9204	1.1644	1.5701	             NaN	1.5019	1.2731	1.0161	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0831	1.1092	             NaN	             NaN	1.0686	             NaN	             NaN	             NaN	             NaN	             NaN	1.2502	2.903	             NaN	             NaN	             NaN	1.417	             NaN	             NaN	2.3219
ANP32B	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7582	1.577	             NaN	             NaN	             NaN	             NaN	1.2344	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0949	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2679	             NaN	             NaN	1.6863	1.3219	             NaN	             NaN	             NaN	1.737
SEPHS2	1.4114	             NaN	             NaN	             NaN	             NaN	             NaN	1.071	             NaN	             NaN	             NaN	             NaN	             NaN	1.1986	1.4284	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1781	             NaN	             NaN	             NaN	             NaN	             NaN	3.4356	1.3322	             NaN	1.932	1.2146	             NaN	             NaN	1.3685	1.8219
YY1	1.3339	             NaN	             NaN	             NaN	             NaN	             NaN	1.3001	             NaN	             NaN	1.3336	1.5599	             NaN	1.28	1.1383	             NaN	             NaN	             NaN	1.4612	1.132	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.423	1.1591	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.211	2.4114	             NaN	             NaN	             NaN	             NaN	2.9449	             NaN	1.3219
FRG1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0414	1.032	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9437	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1201	1.1085	1.0584	             NaN	1.1523	1.2642	2.585	             NaN	1.0294
DAZAP2	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2981	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7822	             NaN	             NaN	             NaN	1.0709	             NaN	2.1375	2.0992	             NaN
NAP1L1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.0275	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.2836	             NaN	1.2434	             NaN	             NaN	             NaN	             NaN	             NaN	1.415	             NaN	1.1782	1.1828	             NaN	             NaN	2.263	1.1667	             NaN
